               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.046659,            0.018685,                   0,              0.9711,             0.95238,             0.96032,             0.58992,            0.034286,           0.0090366,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.047326,            0.018436,                   0,             0.97587,              0.9632,             0.96366,             0.58462,            0.035851,           0.0095867,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.049453,            0.018871,                   0,              0.9671,             0.95238,             0.96795,             0.64065,            0.031237,           0.0091808,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.044473,            0.018867,                   0,             0.96671,             0.92857,             0.95827,             0.61965,            0.028888,           0.0090377,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.049009,            0.017882,                   0,             0.97378,             0.88437,              0.9684,             0.64848,            0.034029,            0.010829,                   0,            0.007558,            0.007558,            0.007558
                  76,             0.04606,            0.018306,                   0,             0.96942,             0.95238,             0.96931,             0.66392,            0.033447,           0.0080355,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.047284,            0.018209,                   0,             0.93079,             0.97619,             0.97101,              0.7161,            0.034153,           0.0090918,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.043523,            0.018396,                   0,             0.94913,             0.97619,             0.96837,             0.66679,            0.037218,           0.0083709,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.043456,            0.017621,                   0,             0.90579,              0.9158,              0.9127,             0.59357,            0.035791,           0.0096845,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.042635,            0.018103,                   0,             0.93757,             0.83333,             0.94621,             0.45156,            0.037514,               0.012,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.046555,            0.017231,                   0,             0.96098,             0.88095,             0.93937,             0.50662,            0.040492,           0.0093034,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.044292,            0.017926,                   0,             0.97609,               0.972,             0.95999,             0.65253,            0.034729,            0.007306,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.040638,            0.017504,                   0,             0.94053,             0.95238,             0.96066,             0.56239,              0.0365,           0.0085421,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.041739,            0.017115,                   0,             0.96477,             0.97619,             0.96947,             0.73044,            0.033262,           0.0083268,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.045292,            0.017225,                   0,             0.96901,             0.97619,              0.9723,             0.67991,            0.032822,           0.0086854,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.040924,            0.016744,                   0,             0.94665,             0.84514,             0.89929,             0.48025,            0.037628,            0.011199,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.041877,            0.016652,                   0,             0.97278,             0.97619,             0.95842,             0.69804,            0.032224,           0.0078441,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.041873,            0.016635,                   0,             0.92361,             0.86376,             0.93883,              0.5362,            0.035158,            0.010416,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.043855,            0.016174,                   0,             0.96968,             0.95238,             0.97249,             0.65868,             0.03173,           0.0086556,                   0,            0.007096,            0.007096,            0.007096
                  90,             0.04265,            0.016788,                   0,             0.96652,             0.97619,             0.96735,             0.72233,            0.030097,            0.007497,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.041192,            0.016833,                   0,             0.96724,             0.97619,             0.96448,             0.75133,            0.034732,           0.0073201,                   0,             0.00703,             0.00703,             0.00703
                  92,             0.04107,            0.017314,                   0,             0.95327,             0.97157,              0.9616,             0.72146,            0.030172,           0.0082215,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.040888,            0.016911,                   0,              0.9728,             0.97619,             0.96124,             0.74624,            0.029976,           0.0072339,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.040944,            0.016358,                   0,             0.97356,             0.97619,             0.95989,             0.67171,            0.029145,           0.0078947,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.041149,            0.016856,                   0,             0.97182,             0.97619,             0.97312,             0.60923,            0.029125,           0.0080429,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.042023,            0.016125,                   0,             0.97357,             0.97619,             0.97396,             0.60912,            0.033968,           0.0075411,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.040131,            0.017058,                   0,             0.95321,             0.97011,             0.97362,             0.59489,            0.036054,           0.0075869,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.040208,            0.016016,                   0,             0.97596,             0.96682,             0.97023,             0.48922,            0.040694,           0.0080333,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.040158,            0.016613,                   0,             0.97619,             0.97608,             0.95587,             0.70267,            0.030421,           0.0072636,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.041351,            0.016695,                   0,             0.96669,             0.90476,             0.95598,             0.53894,            0.035647,           0.0090564,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.039032,            0.016127,                   0,             0.97295,             0.97619,             0.96731,             0.67803,            0.033475,           0.0074848,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.039527,            0.015955,                   0,             0.97238,             0.97619,             0.96857,             0.68156,            0.035781,           0.0071522,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.038776,            0.015533,                   0,             0.97263,             0.97619,             0.97237,             0.64655,            0.033287,           0.0074812,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.038004,            0.015646,                   0,             0.97359,             0.97619,             0.97016,             0.60087,            0.034707,           0.0074434,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.036473,            0.015357,                   0,             0.96996,             0.95238,             0.96796,             0.65277,            0.029445,            0.008616,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.038078,            0.015491,                   0,             0.93089,             0.96223,             0.96311,             0.56966,            0.029998,            0.010883,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.039739,            0.015767,                   0,             0.97138,             0.97619,             0.96621,             0.65718,             0.02815,           0.0083734,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.038337,            0.016029,                   0,              0.3293,             0.69048,             0.30058,            0.091366,            0.041795,            0.013227,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.039191,            0.014962,                   0,             0.97295,             0.97619,              0.9657,             0.60907,            0.030912,           0.0067859,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.037133,            0.016436,                   0,             0.06229,             0.11905,            0.092575,            0.024275,            0.044544,            0.016759,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.035044,            0.015394,                   0,             0.97004,             0.97619,             0.97013,             0.69793,            0.034057,           0.0074827,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.038678,            0.015917,                   0,             0.95308,             0.96732,             0.94277,             0.68537,            0.031802,           0.0068465,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.037633,            0.015617,                   0,             0.96804,             0.97619,             0.96677,             0.71926,            0.029095,           0.0071978,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.037191,             0.01594,                   0,              0.9724,             0.97619,             0.95587,             0.62916,            0.034987,           0.0076252,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.037553,            0.014958,                   0,              0.9733,             0.97619,             0.95375,             0.67127,            0.029164,           0.0079886,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.036855,            0.015428,                   0,             0.96933,             0.97619,             0.95555,             0.73163,            0.031241,           0.0075511,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.033999,            0.015067,                   0,              0.9727,             0.97619,             0.97067,             0.73996,             0.02913,           0.0073328,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.037445,            0.015408,                   0,             0.97602,             0.96912,             0.97395,             0.65541,            0.033545,           0.0075275,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.035874,            0.015411,                   0,             0.97446,             0.97619,             0.97528,             0.64251,            0.031517,           0.0068814,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.035307,            0.013914,                   0,             0.97069,             0.97619,             0.95851,             0.64378,            0.029663,           0.0063773,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.035767,            0.014138,                   0,             0.97363,             0.97619,             0.95601,             0.71017,            0.029989,           0.0057912,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.036477,            0.015678,                   0,             0.97103,             0.97619,             0.97402,             0.66485,            0.034279,           0.0063019,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.036813,            0.014824,                   0,             0.95232,             0.95238,             0.96481,             0.60329,            0.035566,             0.01036,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.035694,            0.014529,                   0,             0.97343,             0.97619,              0.9686,             0.61357,            0.035603,           0.0064293,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.036474,             0.01429,                   0,              0.9308,             0.96091,             0.95861,             0.71262,            0.028848,           0.0076472,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.035699,            0.014851,                   0,             0.97505,             0.97619,              0.9704,             0.57928,            0.036856,           0.0068914,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.035224,             0.01499,                   0,             0.97442,             0.97619,             0.96859,             0.67501,            0.033402,           0.0062597,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.033698,            0.014458,                   0,             0.97335,             0.97619,             0.95676,             0.70524,            0.031524,           0.0058747,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.033398,            0.014078,                   0,             0.97253,             0.97619,             0.96733,             0.68444,            0.031229,           0.0067371,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.036032,             0.01457,                   0,             0.96833,             0.97619,             0.96746,             0.77073,            0.028582,           0.0067757,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.035802,            0.014173,                   0,             0.97332,             0.86889,             0.93262,             0.44333,            0.038105,            0.010702,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.034458,             0.01427,                   0,             0.97183,             0.97619,             0.96973,               0.729,            0.028601,           0.0057807,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.034797,            0.015261,                   0,             0.97316,             0.97619,             0.97332,             0.74866,            0.031007,            0.005819,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.035792,            0.014252,                   0,             0.97272,             0.97619,             0.95759,             0.67914,            0.029445,           0.0065765,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.034794,            0.014025,                   0,              0.9516,             0.97619,             0.95817,             0.72338,            0.028946,           0.0070704,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.032665,            0.013844,                   0,             0.97412,             0.97619,             0.96388,             0.69772,            0.032496,           0.0057207,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.033565,            0.014136,                   0,              0.9742,             0.97619,             0.95729,             0.72537,            0.030068,           0.0058019,                   0,            0.005512,            0.005512,            0.005512
                 138,             0.03408,            0.014376,                   0,             0.97358,             0.97619,             0.96777,             0.71741,            0.031502,           0.0061556,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.034584,            0.014539,                   0,             0.97437,             0.97619,             0.96668,              0.7157,            0.030029,           0.0060162,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.035061,            0.013358,                   0,             0.97488,             0.97619,             0.96734,              0.7621,            0.027555,           0.0060557,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.032475,            0.014313,                   0,             0.97384,             0.97619,             0.97019,             0.72101,            0.030966,           0.0065354,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.034351,            0.014399,                   0,             0.97259,             0.97619,             0.95845,             0.69989,            0.029533,           0.0064489,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.031752,            0.013575,                   0,             0.97381,             0.97619,             0.97126,             0.71466,            0.031148,           0.0059771,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.030693,            0.013666,                   0,             0.97317,             0.97619,             0.95324,             0.70102,            0.031157,           0.0059745,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.030827,            0.013661,                   0,             0.97338,             0.97619,             0.95949,             0.65743,            0.032587,           0.0055805,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.032145,            0.014046,                   0,              0.9735,             0.97619,             0.95681,             0.76344,            0.027543,           0.0056411,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.030649,            0.012957,                   0,             0.97207,             0.97619,             0.97227,             0.67355,            0.033013,           0.0074486,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.032469,            0.013628,                   0,             0.97363,             0.97619,             0.97376,             0.78868,            0.027742,           0.0054765,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.031739,            0.013438,                   0,             0.97285,             0.97619,              0.9742,             0.80967,            0.027103,           0.0055392,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.032599,            0.013959,                   0,             0.95166,             0.97619,             0.95622,             0.78035,            0.026024,           0.0055787,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.031941,            0.013567,                   0,             0.97387,             0.97619,             0.97373,             0.68514,            0.031682,           0.0063441,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.032077,            0.013776,                   0,             0.97204,             0.97619,             0.97412,             0.73588,            0.030508,           0.0060271,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.034371,            0.013774,                   0,             0.97615,             0.97467,             0.97468,             0.70962,            0.030936,           0.0072143,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.032439,            0.013816,                   0,             0.97248,             0.97619,             0.95844,             0.73726,            0.026658,           0.0061122,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.030248,            0.013636,                   0,             0.97404,             0.97619,             0.97097,             0.63493,            0.031966,           0.0058923,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.030074,            0.013659,                   0,             0.97303,             0.97619,             0.96717,             0.79015,             0.02656,           0.0057717,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.032464,            0.013499,                   0,             0.97379,             0.97619,             0.95766,             0.77558,            0.026158,           0.0058625,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.033728,            0.013665,                   0,             0.97377,             0.97619,              0.9601,             0.72163,            0.029272,           0.0060045,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.031321,            0.012719,                   0,              0.9739,             0.97619,             0.97076,              0.6679,            0.033238,           0.0071877,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.031987,            0.013199,                   0,             0.97299,             0.97619,             0.95741,             0.73792,            0.027279,           0.0064533,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.031399,            0.013393,                   0,             0.97387,             0.97619,             0.97262,             0.69059,            0.027218,           0.0064336,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.033317,            0.013117,                   0,              0.9742,             0.97619,             0.95905,             0.76012,            0.025252,            0.005525,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.032418,            0.013958,                   0,             0.97406,             0.97619,             0.97359,             0.75427,            0.026711,           0.0058496,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.032071,            0.012686,                   0,             0.97431,             0.97619,              0.9679,             0.78251,            0.027923,           0.0053748,                   0,            0.004621,            0.004621,            0.004621
                 165,             0.03181,             0.01366,                   0,             0.97421,             0.97619,              0.9722,             0.80232,            0.023656,           0.0054679,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.031672,            0.013455,                   0,             0.97613,             0.97619,             0.97572,               0.796,            0.025236,            0.005281,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.032486,            0.012726,                   0,             0.97424,             0.97619,             0.97421,             0.81433,            0.025413,           0.0055023,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.030711,             0.01307,                   0,             0.97399,             0.97619,             0.97486,             0.74929,            0.028434,           0.0056302,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.029853,            0.012236,                   0,             0.97474,             0.97619,             0.96869,             0.80172,            0.026091,           0.0052525,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.029957,            0.013748,                   0,              0.9738,             0.97619,             0.97245,              0.7759,            0.028182,           0.0055461,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.029215,            0.012634,                   0,              0.9739,             0.97619,             0.96956,             0.77184,            0.028186,           0.0057583,                   0,             0.00439,             0.00439,             0.00439
